exp_config,split,amota,bicycle_amota,bus_amota,car_amota,moto_amota,ped_amota,trailer_amota,truck_amota
hungarian_dist10_cvcy_obj_conf_padd_20_noyc_results,mini_train,0.513,0.436,0.661,0.480,0.360,0.602,0.775,0.279
hungarian_dist2_cvcy_obj_conf_padd_25_noyc_results,mini_train,0.466,0.292,0.562,0.456,0.169,0.624,0.775,0.383
hungarian_dist2_cvcy_obj_conf_padd_05_noyc_results,mini_train,0.483,0.361,0.509,0.418,0.193,0.688,0.775,0.436
hungarian_dist2_ack_conf_mult_10_yc_results,mini_train,0.386,0.373,0.444,0.381,0.250,0.399,0.775,0.077
hungarian_dist2_cvcy_obj_count_yc_results,mini_train,0.416,0.119,0.463,0.187,0.208,0.752,0.711,0.474
greedy_dist5_cvcy_conf_padd_40_noyc_results,mini_train,0.574,0.434,0.691,0.607,0.297,0.713,0.775,0.501
hungarian_dist2_cvcy_obj_conf_mult_50_yc_results,mini_train,0.447,0.197,0.575,0.434,0.183,0.526,0.775,0.441
hungarian_dist5_ack_conf_mult_40_yc_results,mini_train,0.423,0.253,0.529,0.356,0.206,0.480,0.775,0.359
hungarian_dist10_ack_conf_padd_20_yc_results,mini_train,0.366,0.291,0.404,0.273,0.141,0.559,0.775,0.115
hungarian_dist2_ack_conf_mult_25_yc_results,mini_train,0.399,0.277,0.523,0.390,0.187,0.361,0.775,0.283
hungarian_dist2_cvcy_obj_conf_mult_10_yc_results,mini_train,0.455,0.336,0.555,0.421,0.232,0.627,0.775,0.238
greedy_dist2_cvcy_obj_conf_mult_40_noyc_results,mini_train,0.475,0.224,0.573,0.496,0.192,0.655,0.775,0.411
greedy_dist5_cvcy_obj_conf_padd_40_noyc_results,mini_train,0.576,0.465,0.690,0.609,0.289,0.707,0.775,0.496
hungarian_dist5_cvcy_conf_padd_50_yc_results,mini_train,0.519,0.415,0.662,0.455,0.263,0.602,0.775,0.465
greedy_dist2_cvcy_conf_mult_30_noyc_results,mini_train,0.476,0.256,0.575,0.495,0.192,0.679,0.775,0.363
hungarian_dist2_ack_conf_padd_25_noyc_results,mini_train,0.423,0.301,0.496,0.413,0.171,0.435,0.775,0.371
greedy_dist2_ack_conf_padd_40_noyc_results,mini_train,0.454,0.331,0.522,0.493,0.197,0.460,0.775,0.399
hungarian_dist2_cvcy_obj_conf_padd_20_yc_results,mini_train,0.458,0.300,0.542,0.446,0.164,0.647,0.775,0.334
hungarian_dist2_cvcy_conf_mult_10_yc_results,mini_train,0.458,0.329,0.549,0.421,0.232,0.656,0.775,0.242
hungarian_dist10_cvcy_count_yc_results,mini_train,0.521,0.206,0.652,0.459,0.363,0.675,0.730,0.559
hungarian_dist5_ack_conf_padd_05_noyc_results,mini_train,0.412,0.316,0.492,0.377,0.184,0.550,0.775,0.189
greedy_dist2_ack_conf_padd_05_yc_results,mini_train,0.466,0.496,0.474,0.489,0.193,0.441,0.775,0.397
greedy_dist5_ack_conf_padd_05_yc_results,mini_train,0.485,0.423,0.529,0.465,0.184,0.592,0.775,0.425
hungarian_dist10_cvcy_conf_padd_25_yc_results,mini_train,0.502,0.341,0.664,0.442,0.358,0.616,0.775,0.320
hungarian_dist2_cvcy_conf_mult_50_yc_results,mini_train,0.446,0.196,0.572,0.433,0.183,0.525,0.775,0.439
hungarian_dist2_ack_conf_mult_40_noyc_results,mini_train,0.393,0.232,0.500,0.376,0.187,0.368,0.775,0.313
greedy_dist5_cvcy_obj_conf_padd_10_noyc_results,mini_train,0.598,0.505,0.688,0.615,0.373,0.735,0.775,0.495
greedy_dist5_cvcy_obj_conf_padd_10_yc_results,mini_train,0.597,0.511,0.688,0.626,0.386,0.741,0.775,0.452
hungarian_dist10_cvcy_obj_conf_padd_05_noyc_results,mini_train,0.560,0.481,0.714,0.511,0.416,0.620,0.775,0.407
hungarian_dist5_ack_conf_padd_50_yc_results,mini_train,0.443,0.320,0.529,0.393,0.191,0.521,0.775,0.373
hungarian_dist10_cvcy_obj_conf_padd_15_noyc_results,mini_train,0.500,0.342,0.664,0.467,0.371,0.623,0.775,0.259
greedy_dist5_cvcy_conf_padd_25_yc_results,mini_train,0.588,0.457,0.714,0.625,0.314,0.730,0.775,0.500
greedy_dist2_cvcy_conf_mult_50_yc_results,mini_train,0.478,0.226,0.575,0.496,0.192,0.659,0.775,0.425
hungarian_dist5_cvcy_obj_conf_mult_05_yc_results,mini_train,0.532,0.423,0.646,0.471,0.439,0.635,0.775,0.336
greedy_dist5_cvcy_obj_conf_mult_10_noyc_results,mini_train,0.586,0.481,0.691,0.598,0.454,0.702,0.775,0.400
hungarian_dist10_ack_conf_padd_15_noyc_results,mini_train,0.382,0.300,0.419,0.284,0.145,0.540,0.775,0.212
hungarian_dist5_ack_conf_mult_05_yc_results,mini_train,0.388,0.263,0.443,0.338,0.211,0.522,0.775,0.162
greedy_dist10_ack_conf_padd_05_yc_results,mini_train,0.422,0.216,0.433,0.392,0.178,0.591,0.775,0.367
hungarian_dist5_cvcy_obj_conf_padd_40_noyc_results,mini_train,0.518,0.417,0.685,0.481,0.234,0.627,0.775,0.406
greedy_dist5_cvcy_obj_conf_padd_05_yc_results,mini_train,0.604,0.595,0.686,0.602,0.367,0.732,0.775,0.474
hungarian_dist10_cvcy_conf_mult_25_yc_results,mini_train,0.493,0.299,0.678,0.437,0.336,0.569,0.775,0.354
hungarian_dist10_ack_conf_padd_25_yc_results,mini_train,0.397,0.294,0.454,0.249,0.187,0.533,0.775,0.290
hungarian_dist5_cvcy_conf_padd_40_noyc_results,mini_train,0.514,0.417,0.661,0.473,0.257,0.619,0.775,0.399
hungarian_dist10_ack_count_yc_results,mini_train,0.359,0.000,0.439,0.105,0.153,0.613,0.809,0.392
greedy_dist2_cvcy_conf_padd_50_noyc_results,mini_train,0.501,0.279,0.575,0.522,0.208,0.697,0.775,0.451
