config,n_dets,n_trks,time_ns
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,58,32,8216737
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,56,30,7468609
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,55,27,6939105
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,83,32,10616244
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,51,28,6805078
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,78,26,7746611
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,64,30,7040101
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,67,27,7575766
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,50,26,6077418
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,51,22,7640987
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,43,27,6027426
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,127,66,9944347
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,113,81,24512596
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,115,86,28951759
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,121,87,26069562
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,129,101,26976392
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,144,122,31408973
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,141,124,34903506
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,139,126,35271112
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,132,117,37827117
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,147,127,39051492
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,139,117,41426814
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,134,122,35782975
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,126,114,34728212
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,135,129,36075073
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,119,114,34956743
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,129,119,35418393
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,129,113,34606649
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,144,120,37565416
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,132,121,35389821
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,151,120,37482514
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,125,118,31856496
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,115,110,29253584
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,103,103,23845368
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,79,91,21343212
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,93,75,23138196
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,130,89,22667049
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,111,81,21619730
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,107,78,20186864
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,110,74,20765859
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,90,73,17595382
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,76,63,15051158
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,62,56,12729334
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,69,48,12120764
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,67,48,11145458
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,63,51,11355284
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,68,48,11260580
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,48,40,8604962
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,45,30,8564557
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,51,33,7508833
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,75,41,9886931
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,88,35,9250088
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,73,42,10023213
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,61,40,9661045
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,81,46,11359051
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,64,54,10944518
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,60,58,11553759
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,57,57,11270919
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,55,52,11068206
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,64,55,11748519
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,64,54,11930153
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,68,51,11940201
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,71,54,12230686
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,69,55,12635922
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,77,50,12908644
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,63,52,11452393
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,56,46,10385309
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,54,51,10223320
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,78,56,13259991
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,72,50,12658784
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,60,52,10819498
hungarian_dist2_cvcy_obj_conf_padd_30_noyc,83,50,13152603
